id,name,description,designer_page_description,featured,featured_description,designer_page_image,website,designer_url,shipping_handling,return_policy,read_more,logo,active,activate_date,deactivate_date,slug,shipping_method
69,Study NY,"<p>Study is a sustainable womenswear label based in Brooklyn, NY.  They make seasonless clothing locally and ethically without subscribing to the traditional fashion calendar. Their goal is to create the ideal wardrobe for their ideal individuals (you). Study NY believe the clothes we wear should be well-made using quality materials, and the hands that manipulate those materials should be respected and cared for.  They tell the story of how our clothing is made, one step at a time.</p>

<p>Tara St James is the owner and head designer for Study, a high-concept brand primarily produced in New York City. St James lends her talent and skills to various organizations, including The Uniform Project (a fundraising platform using sustainable design to raise money for underprivileged children) and the Awamaki Lab (a program that fosters cross-cultural partnerships between young designers and Peru's Awamaki indigenous weaver collective), where she facilitates discussions about the intersection of sustainability, ethical sourcing, and product innovation.</p>

<p>Born and raised in Montreal, Canada, St James has lived and worked in New York since 2004, and now calls Brooklyn home. In the future, she hopes to expand fabric development, and add more accessories and a men’s line to her collection.</p>",Seasonless Clothing Locally and Ethically Made in New York,False,,,http://studyny.squarespace.com/,,"<p><b>FREE Shipping on orders over $100 to the USA and Canada!</b></p>
<p>We offer fast and free shipping anywhere in the US and Canada for all orders over $100. Orders under $100 will accrue a $10 shipping charge.</p>

<p><b>Free Returns on ALL Orders:</b></p>
<p>Exchanges and returns accepted within <strong>30 days</strong> of shipping. Returns are FREE for members. Not a member? <a href=""/user/register"">Sign up now.</a> Add confidence to your purchase by reading our return policy <a href=""/customer-care/exchanges-and-returns"">here</a>.</p>

<p><b>Non US/Canada:</b></p>
<p>Are you outside the US or Canada? We'll be shipping overseas soon, but if there's something that you absolutely must have then please email us at service@modavanti.com and we will be able to ship to you!</p>",Not what you expected? That’s okay! Exchanges and returns accepted within <strong>30 days</strong> of shipping. Click here to read the fine print of our return policy.,,,False,None,None,study-ny,1
70,Raven + Lily,"<p>Raven + Lily is a socially responsible brand dedicated to empowering women through design partnerships and sustainable economic opportunities. Founded by Kirsten Dickerson and Sophia Lin who share a close friendship and passion for fashion and ethical design, Raven + Lily was created as a platform to utilize those passions to alleviate poverty among women.</p>

<p>Raven + Lily currently helps employ marginalized women in Africa, India, Cambodia and the United States at fair trade wages to give them access to a safe job, sustainable income, healthcare, education, and a real chance to break the cycle of poverty for themselves and their families. Every product from Raven + Lily is handmade, fair trade and eco-friendly.</p>

<p>The Ethiopia Collection is comprised of statement jewelry designs crafted with handmade beads and charms from melted bullet casings (from former war conflicts) and vintage silver coins. This collection empowers HIV-positive women in Ethiopia. The Ethiopia Collection also includes naturally dyed, hand-loomed scarves and hand-knit scarves, empowering at-risk women and women recovering from child birth injuries.</p>

<p>The India Collection features gorgeous recycled cotton papers, hand-carved wood journals, metallic leather jewelry, and hand-milled natural soaps. This collection empowers marginalized women in Northern India.</p>

<p>The Cambodia Collection includes eco-friendly bags and t-shirts made with hand-loomed, natural-dyed, and remnant materials (with full eco-friendly apparel collection slated for release in Fall 2013). These hand-printed pieces are made with love by at-risk women in Cambodia.</p>

<p>The USA Collection currently features hand-poured soy candles, infused with incredible scents of the woodsy outdoors or tropical fruits, empowering formerly homeless women in Los Angeles. The USA Collection also includes exclusive scarves made of designer remnant jersey and metallic leather, supporting refugees in Austin.</p>

<p>Raven + Lily is proud to be a member of the Ethical Fashion Forum’s 500 Fellows around the globe. This is an exclusive group of 500 of the world’s foremost innovators and leaders in the fashion sector. They also received the CLASSY Award for Philanthropic Business of the Year in 2012. We are certified by ""Green America"" as an environmentally and socially responsible business.</p>",Empowering Women Through Design,False,,,http://www.ravenandlily.com/,,"<p><b>FREE Shipping on orders over $100 to the USA and Canada!</b></p>
<p>We offer fast and free shipping anywhere in the US and Canada for all orders over $100. Orders under $100 will accrue a $10 shipping charge.</p>

<p><b>Free Returns on ALL Orders:</b></p>
<p>Exchanges and returns accepted within <strong>30 days</strong> of shipping. Returns are FREE for members. Not a member? <a href=""/user/register"">Sign up now.</a> Add confidence to your purchase by reading our return policy <a href=""/customer-care/exchanges-and-returns"">here</a>.</p>

<p><b>Non US/Canada:</b></p>
<p>Are you outside the US or Canada? We'll be shipping overseas soon, but if there's something that you absolutely must have then please email us at service@modavanti.com and we will be able to ship to you!</p>",Not what you expected? That’s okay! Exchanges and returns accepted within <strong>30 days</strong> of shipping. Click here to read the fine print of our return policy.,,,True,None,None,raven-lily,1
71,Pima Doll,"<p>Pima Doll, as the name suggests, is a pima cotton collection. It is designed in New York and manufactured in Peru, from the world's best pima cotton. Pima Doll puts a fun twist on the cotton basic, treating the fabric in innovative ways. The fabric is perforated, cut, distressed and knit back together again. Careful not to waste the precious pima, the leftover cuttings of the tee's are upcycled into beautiful, one of a kind hand knits. The result is an exciting pima cotton collection of tops, leggings, dresses and unique hand knit pieces.</p>

<p>Pima Doll uses Peruvian pima cotton exclusively, known as one of the finest cotton's in the world. Our cotton is grown along the lush Peruvian coast lines. The combination of Peru's coastal climate, the type of seed and soil, all contribute to the ideal growing conditions. Pima is an extra long staple cotton, the long fibers being highly resistant. For these reasons our cotton apparel does not pill. Pima is incredibly durable and known to last 50% longer than ordinary cotton. We use 100% pure pima cotton, no synthetic blending. Furthermore our cotton is grown without chemicals and is hand harvested, therefore having no adverse environmental impact. Our collection is natural and hypo-allergenic. We suggest machine or hand washing and we do not recommend dry cleaning, which can be toxic.</p>","Style, Attitude, Sustainability",False,,,http://pimadoll.com/,,"<p><b>FREE Shipping on orders over $100 to the USA and Canada!</b></p>
<p>We offer fast and free shipping anywhere in the US and Canada for all orders over $100. Orders under $100 will accrue a $10 shipping charge.</p>

<p><b>Free Returns on ALL Orders:</b></p>
<p>Exchanges and returns accepted within <strong>30 days</strong> of shipping. Returns are FREE for members. Not a member? <a href=""/user/register"">Sign up now.</a> Add confidence to your purchase by reading our return policy <a href=""/customer-care/exchanges-and-returns"">here</a>.</p>

<p><b>Non US/Canada:</b></p>
<p>Are you outside the US or Canada? We'll be shipping overseas soon, but if there's something that you absolutely must have then please email us at service@modavanti.com and we will be able to ship to you!</p>","<p><b>Returns:</b></p>
<p>Exchanges and returns accepted within <strong>30 days</strong> of shipping. Returns are FREE for members. Not a member? <a href=""/user/register"">Sign up now.</a> Add confidence to your purchase by reading our return policy <a href=""/customer-care/exchanges-and-returns"">here</a>.</p>",,,True,None,None,pima-doll,1
72,4 All Humanity,"<p>4 All Humanity is an online private label that offers a finely curated and designed assortment of women’s apparel and accessories from artisans around the world. 4 All Humanity believes in the beauty of helping others, living fully, dreaming big dreams and loving what you do.</p>

<p>4 All Humanity works with artisans all over the world. Their apparel is produced in a cooperative in northern Uganda. Accessories and jewelry come from cooperatives in India, Thailand, Mexico, and South Africa using recycled materials, silver, vintage fabrics, leather, and precious stones.</p>

<p> All Humanity ethically source every product. They are actively seeking out artisans, giving them access to a global market, and encouraging their craft to grow through technical training and design assistance. They believe by doing this we can not only change the artisan's future but the current model for sourcing within the apparel industry.​</p>
","Fair Trade clothing from Uganda, India and Thailand",False,,,http://www.4allhumanity.com/,,"<p><b>FREE Shipping on orders over $100 to the USA and Canada!</b></p>
<p>We offer fast and free shipping anywhere in the US and Canada for all orders over $100. Orders under $100 will accrue a $10 shipping charge.</p>

<p><b>Free Returns on ALL Orders:</b></p>
<p>Exchanges and returns accepted within <strong>30 days</strong> of shipping. Returns are FREE for members. Not a member? <a href=""/user/register"">Sign up now.</a> Add confidence to your purchase by reading our return policy <a href=""/customer-care/exchanges-and-returns"">here</a>.</p>

<p><b>Non US/Canada:</b></p>
<p>Are you outside the US or Canada? We'll be shipping overseas soon, but if there's something that you absolutely must have then please email us at service@modavanti.com and we will be able to ship to you!</p>",Not what you expected? That’s okay! Exchanges and returns accepted within <strong>30 days</strong> of shipping. Click here to read the fine print of our return policy.,,,True,None,None,4-all-humanity,1
73,Knotty Gal,"<p>As the brainchild of NY-based mother-daughter duo Nur-E Gulshan Rahman and Nur-E Farhana Rahman, Knotty Gal is the producer of one-of-a-kind knotted, handmade accessories for a cause!</p>

<p>Knotty Gal’s first collection, recently launched on May 30th, is designed by the pair and hand-crafted by Nur-E Gulshan Rahman, who incorporates intricate knots into bold, colorful, and one-of-a-kind statement pieces. Each of Knotty Gal’s necklaces, bracelets, and earrings is made from a combination of carefully selected cords and metals to produce a modern take on classic knots.</p> 

<p>Delightfully “knotty” by nature, the line is equally as “nice” in purpose. Knotty Gal is the result of the founders’ desire to raise funds for the Bhandari Girls’ School in Bogra, Bangladesh. Founded in 1962 by Nur-E Farhana’s great-grandfather, the institution was the first all-girls school in the region. Today, the student body has swelled to over 1,000 girls, approximately 90% of whom come from extreme poverty.</p>

<p>After visiting the school in 2011 and seeing the overcrowded classrooms, lack of educational materials, and overall lack of resources, Nur-E Farhana knew something had to be done. She and her mother decided to combine their creative passions with their desire to help and create an accessories line that would resonate with knotty gals everywhere. A portion of all Knotty Gal proceeds directly benefits the Bhandari Girls’ School.</p>","One-of-a-kind Knotted, Handmade Accessories for a Cause",False,,,http://www.knottygal.com/,,"<p><b>FREE Shipping on orders over $100 to the USA and Canada!</b></p>
<p>We offer fast and free shipping anywhere in the US and Canada for all orders over $100. Orders under $100 will accrue a $10 shipping charge.</p>

<p><b>Free Returns on ALL Orders:</b></p>
<p>Exchanges and returns accepted within <strong>30 days</strong> of shipping. Returns are FREE for members. Not a member? <a href=""/user/register"">Sign up now.</a> Add confidence to your purchase by reading our return policy <a href=""/customer-care/exchanges-and-returns"">here</a>.</p>

<p><b>Non US/Canada:</b></p>
<p>Are you outside the US or Canada? We'll be shipping overseas soon, but if there's something that you absolutely must have then please email us at service@modavanti.com and we will be able to ship to you!</p>",Not what you expected? That’s okay! Exchanges and returns accepted within <strong>30 days</strong> of shipping. Click here to read the fine print of our return policy.,,,True,None,None,knotty-gal,1
74,Dirty Librarian Chains,"<p>What makes Dirty Librarian Chains stand out is that designer Susan Domelsmith knows avant-garde fashion can be sustainable. Her collection is founded on a zero waste design model and ensures the production of every piece utilizes USA made materials dating from the 1960’s to the 1980’s.  Referencing the surroundings of her NYC home base, Domelsmith incorporates bold retro-futuristic structures into her jewelry designs.  The collection is continually evolving, but throughout the years it has retained the same distinct eye-catching playfulness as when she started DLC in 2004.</p>

<p>Her collection has been seen many times on the runway during New York Fashion Week as well as featured in countless publications including British Vogue, Elle, NY Magazine, Huffington Post, WWD, and Teen Vogue.  Her distinct collection has gained many celebrity followers, and her pieces have been worn by Jessica Alba, Eve, Anne Hathaway, Debbie Harry, Kate Hudson, Gwyneth Paltrow, Princess Superstar and Emily Deschanel.</p>

<p>For nearly a decade, her work has been at the forefront of the sustainable fashion jewelry movement and has offered alternatives to inspire others to also think about the issue of wasteful fast fashion manufacturing.  Domelsmith continues to spread her sustainable expertise by teaching zero waste designing.  She fosters creativity in other aspiring designers through teaching apprenticeships as well as offering workshops where her students learn the basics of jewelry making and create new pieces from their own meaningful treasures and heirlooms.  For the diy-phobic, Susan also works with clients to design custom jewelry using unworn pieces from their own jewelry boxes.</p>",Ethical and sustainable statement jewelry made in NYC,False,,modacore/designers/images/Frost_Necklace_Brooch_Glacier_Bracelet_Polar_Ring_web_1_1.jpg,http://dirtylibrarianchains.com/,,"<p><b>FREE Shipping on orders over $100 to the USA and Canada!</b></p>
<p>We offer fast and free shipping anywhere in the US and Canada for all orders over $100. Orders under $100 will accrue a $10 shipping charge.</p>

<p><b>Free Returns on ALL Orders:</b></p>
<p>Exchanges and returns accepted within <strong>30 days</strong> of shipping. Returns are FREE for members. Not a member? <a href=""/user/register"">Sign up now.</a> Add confidence to your purchase by reading our return policy <a href=""/customer-care/exchanges-and-returns"">here</a>.</p>

<p><b>Non US/Canada:</b></p>
<p>Are you outside the US or Canada? We'll be shipping overseas soon, but if there's something that you absolutely must have then please email us at service@modavanti.com and we will be able to ship to you!</p>",Not what you expected? That’s okay! Exchanges and returns accepted within <strong>30 days</strong> of shipping. Click here to read the fine print of our return policy.,,,True,None,None,dirty-librarian-chains,1
75,George & Laurel,"<p>George & Laurel is a jewelry company founded by Blair George and Danielle (Dani) Killam, creators of the irreverent and chic fashion blog The Smoking Nuns. Deeply rooted in the creative and cultural arts community of Los Angeles, both Blair and Dani work in the Downtown Fashion District.</p>",Jewelry influenced by the cultural arts community of L.A.  ,False,,modacore/designers/images/DesignerGate-George_Laurel.jpg,http://www.georgeandlaurel.com/,,"<p><b>FREE Shipping on orders over $100 to the USA and Canada!</b></p>
<p>We offer fast and free shipping anywhere in the US and Canada for all orders over $100. Orders under $100 will accrue a $10 shipping charge.</p>

<p><b>Free Returns on ALL Orders:</b></p>
<p>Exchanges and returns accepted within <strong>30 days</strong> of shipping. Returns are FREE for members. Not a member? <a href=""/user/register"">Sign up now.</a> Add confidence to your purchase by reading our return policy <a href=""/customer-care/exchanges-and-returns"">here</a>.</p>

<p><b>Non US/Canada:</b></p>
<p>Are you outside the US or Canada? We'll be shipping overseas soon, but if there's something that you absolutely must have then please email us at service@modavanti.com and we will be able to ship to you!</p>",Not what you expected? That’s okay! Exchanges and returns accepted within <strong>30 days</strong> of shipping. Click here to read the fine print of our return policy.,,,True,None,None,george-laurel,1
76,Neuaura,"<p>Founded in 2007, Neuaura is an an eco-conscious, animal free footwear company that provides an assortment of footwear ranging from summer sandals to faux fur lined winter boots.  They do their best to ensure the manufacturing process and materials leave minimal impact on our planet.</p> 

<p>A portion of Neuaura's manufacturing is done in a factory located in Southern Brazil. This factory is part of a union that decided to take the responsibility of solid waste of the entire production process seriously and make it less harmful to the environment. In 1996, the project ""Amanha Mais Feliz"" (A Happier Tomorrow), led by the Union of the Footwear and Footwear Components Companies, was born.</p>

<p>For the past 10 years, the project has expanded tremendously. Now the union has a techno-environmental complex that includes Screening of Industrial Waste Plant, Convention Center, Environmental Studies Center and Administrative Headquarters. The investment for the construction of this facility was $1.27 million.</p>

<p>In this initiative, the proper separation of waste at the factory level ensures that everything that can be reused is recycled and goes back to the industrial process. Each factory that is part of the union, and has implemented the recycling practice in their facility, stamps a green seal on all the boxes which certifies this practice on their products. The seal is printed on all Neuaura shoeboxes so consumers can identify that the shoes were manufactured in a green facility.</p>

<p>The entire process starts with the segregation and collection of waste generated in the factories, which is transported to the Screening Plant, where it is reviewed, weighed, recorded and pressed. After this process, the waste is sent to its intended destination: recycling companies.</p>

<p>Of the 250 tons per month of waste, an average of 68% is reused. The remaining waste is taken to the Hazardous Industrial Waste Landfill. This site was built within strict technical and security standards. The un-recyclable materials (mostly chrome dyed leather) are stored here until they find new technology to recycle and reuse this material.</p>

<p>Neuaura's factory is powered by hydroelectricity which uses renewable resources. (Hydroelectric power produces no direct waste and has significantly lower output level of carbon dioxide.) The factory also advocates recycling and protection and preservation of endangered animals to their surrounding communities. They sponsor a habitat for endangered animals native to their area that serves as an educational tool and provides an overall awareness to the community.</p>",Vegan shoes and sandals for the eco-conscious woman,False,,modacore/designers/images/DesignerGate-neuaura.jpg,http://www.neuaurashoes.com/,,"<p><b>FREE Shipping on orders over $100 to the USA and Canada!</b></p>
<p>We offer fast and free shipping anywhere in the US and Canada for all orders over $100. Orders under $100 will accrue a $10 shipping charge.</p>

<p><b>Free Returns on ALL Orders:</b></p>
<p>Exchanges and returns accepted within <strong>30 days</strong> of shipping. Returns are FREE for members. Not a member? <a href=""/user/register"">Sign up now.</a> Add confidence to your purchase by reading our return policy <a href=""/customer-care/exchanges-and-returns"">here</a>.</p>

<p><b>Non US/Canada:</b></p>
<p>Are you outside the US or Canada? We'll be shipping overseas soon, but if there's something that you absolutely must have then please email us at service@modavanti.com and we will be able to ship to you!</p>",Not what you expected? That’s okay! Exchanges and returns accepted within <strong>30 days</strong> of shipping. Click here to read the fine print of our return policy.,,,True,None,None,neuaura,1
78,Nakate Project,"<p>Nakate is a social enterprise dedicated to leveraging African sustainability and upcycling through putting Uganda’s after market waste to use through unique design.</p>

<p>Nakate creates lasting economic change through partnering with Ugandan run initiatives and enabling them to scale through implementing quality control, positive business practices and improving working conditions.</p>

<p>Nakate's idea of taking Africa with you is centered on the belief that the Africa they have experienced has to something to teach and offer brave, open, inspired women across the globe. Through the unique aesthetic we have come to love, Nakate seeks to both celebrate a part of the world that teaches us to live more deeply, and to challenge the bold adventurer that they know already lives inside of you.</p>",Every product has a story. Learn ours,False,,,http://www.nakateproject.com/,,"<p><b>FREE Shipping on orders over $100 to the USA and Canada!</b></p>
<p>We offer fast and free shipping anywhere in the US and Canada for all orders over $100. Orders under $100 will accrue a $10 shipping charge.</p>

<p><b>Free Returns on ALL Orders:</b></p>
<p>Exchanges and returns accepted within <strong>30 days</strong> of shipping. Returns are FREE for members. Not a member? <a href=""/user/register"">Sign up now.</a> Add confidence to your purchase by reading our return policy <a href=""/customer-care/exchanges-and-returns"">here</a>.</p>

<p><b>Non US/Canada:</b></p>
<p>Are you outside the US or Canada? We'll be shipping overseas soon, but if there's something that you absolutely must have then please email us at service@modavanti.com and we will be able to ship to you!</p>","<p><b>FREE Shipping and FREE Returns:</b></p>
<p>We offer fast and free shipping anywhere in the US!</p> 

<p><b>Returns:</b></p>
<p>Exchanges and returns accepted within <strong>30 days</strong> of shipping. Returns are FREE for members. Not a member? <a href=""/user/register"">Sign up now.</a> Add confidence to your purchase by reading our return policy <a href=""/customer-care/exchanges-and-returns"">here</a>.</p>",,,False,None,None,nakate-project,1
79,SVILU,"<p>Founded in 2012 by Britt Cosgrove and Marina Polo, SVILU seeks to re-address the fundamentals of a woman's wardrobe by offering environmentally sustainable and socially sensitive staples for modern dressing. Mindfully sourced and locally produced pieces are based on styles that endure the ebb and flow of trends. Silhouettes are borrowed from the boys but designed by women with an eye towards subtle specialness and impeccable make. The clothes set a woman apart without speaking louder than she does.</p>

<p>Born in New York and raised in Paris, Marina Polo attended Central Saint Martins College of Art in London. While at university Marina apprenticed at Lesage in Paris, Vera Wang and menswear label Cloak in New York. Upon graduation she relocated to New York and was recruited by fashion house Peter Som. She served as design director there until 2012.</p>

<p>Britt Cosgrove grew up in Hunting Valley, Ohio and upon graduation from Middlebury College moved to New York City where she began her career in Public Relations. Working for Prada and then Hogan in their VIP relations department she transitioned from PR to design and received a degree from Parsons School of Design. After completing her studies she worked under Peter Som on the Tommy Hilfiger runway collections.</p>", Mindfully made sustainable women's clothing,False,,,http://svilu.com/sustainability.html,,"<p><b>FREE Shipping on orders over $100 to the USA and Canada!</b></p>
<p>We offer fast and free shipping anywhere in the US and Canada for all orders over $100. Orders under $100 will accrue a $10 shipping charge.</p>

<p><b>Free Returns on ALL Orders:</b></p>
<p>Exchanges and returns accepted within <strong>30 days</strong> of shipping. Returns are FREE for members. Not a member? <a href=""/user/register"">Sign up now.</a> Add confidence to your purchase by reading our return policy <a href=""/customer-care/exchanges-and-returns"">here</a>.</p>

<p><b>Non US/Canada:</b></p>
<p>Are you outside the US or Canada? We'll be shipping overseas soon, but if there's something that you absolutely must have then please email us at service@modavanti.com and we will be able to ship to you!</p>","<p><b>FREE Shipping and FREE Returns:</b></p>
<p>We offer fast and free shipping anywhere in the US!</p> 

<p><b>Returns:</b></p>
<p>Exchanges and returns accepted within <strong>30 days</strong> of shipping. Returns are FREE for members. Not a member? <a href=""/user/register"">Sign up now.</a> Add confidence to your purchase by reading our return policy <a href=""/customer-care/exchanges-and-returns"">here</a>.</p>

<p><b>International Shipping:</b></p>
<p>Are you outside the US? We'll be shipping overseas soon, but if there's something that you absolutely must have then please email us at service@modavanti.com and we will be able to ship to you!</p>",,,False,None,None,svilu,1
80,Visantine Collective,"<p>Visantine is a collaboration of Ivy Thompson and Maria Piessis. They met serving tables at a New York bistro in the summer of 2010. Friendship came naturally, and the idea of working together followed soon after. Ivy’s fashion sense and creative vision paired with Maria’s love for business and design couldn’t have been a better match. They love creating beautiful things and learning from each other. Ivy and Maria are all local, producing and sourcing everything in New York City.</p> ","Sophisticated, balanced and versatile fashion made in Brooklyn",False,,,http://visantinecollective.com/about,,"<p><b>FREE Shipping on orders over $100 to the USA and Canada!</b></p>
<p>We offer fast and free shipping anywhere in the US and Canada for all orders over $100. Orders under $100 will accrue a $10 shipping charge.</p>

<p><b>Free Returns on ALL Orders:</b></p>
<p>Exchanges and returns accepted within <strong>30 days</strong> of shipping. Returns are FREE for members. Not a member? <a href=""/user/register"">Sign up now.</a> Add confidence to your purchase by reading our return policy <a href=""/customer-care/exchanges-and-returns"">here</a>.</p>

<p><b>Non US/Canada:</b></p>
<p>Are you outside the US or Canada? We'll be shipping overseas soon, but if there's something that you absolutely must have then please email us at service@modavanti.com and we will be able to ship to you!</p>","<p><b>FREE Shipping and FREE Returns:</b></p>
<p>We offer fast and free shipping anywhere in the US!</p> 

<p><b>Returns:</b></p>
<p>Exchanges and returns accepted within <strong>30 days</strong> of shipping. Returns are FREE for members. Not a member? <a href=""/user/register"">Sign up now.</a> Add confidence to your purchase by reading our return policy <a href=""/customer-care/exchanges-and-returns"">here</a>.</p>

<p><b>International Shipping:</b></p>
<p>Are you outside the US? We'll be shipping overseas soon, but if there's something that you absolutely must have then please email us at service@modavanti.com and we will be able to ship to you!</p>",,,True,None,None,visantine-collective,1
82,Passion Lilie,"<p>Passion Lilie began with a desire to change the fashion industry, so that ethical, fashionable and affordable fashion is the norm as opposed to the rarity. They are a New Orleans based women's fair trade clothing line that gives individuals, mainly women, in remote villages a unique opportunity to live a dignified life.</p> 

<p>Their mission is to empower artisans by creating dignified employment opportunities that give fair wages to individuals, mainly women, in developing communities. Passion Lilie believe that these positive job opportunities lead to sustainable societies and a better world.</p> 

<p>By purchasing ethical garments, you are helping to reverse the cycle of poverty and to improve the world you live in. And the best part is that neither Passion Lilie nor their artisans are asking for a penny of your charity. They just want you to make a conscious purchase when you go to buy your next outfit.</p>
",Changing the world through ethical fashion,False,,,http://passionlilie.com/pages/about-us,,"<p><b>FREE Shipping on orders over $100 to the USA and Canada!</b></p>
<p>We offer fast and free shipping anywhere in the US and Canada for all orders over $100. Orders under $100 will accrue a $10 shipping charge.</p>

<p><b>Free Returns on ALL Orders:</b></p>
<p>Exchanges and returns accepted within <strong>30 days</strong> of shipping. Returns are FREE for members. Not a member? <a href=""/user/register"">Sign up now.</a> Add confidence to your purchase by reading our return policy <a href=""/customer-care/exchanges-and-returns"">here</a>.</p>

<p><b>Non US/Canada:</b></p>
<p>Are you outside the US or Canada? We'll be shipping overseas soon, but if there's something that you absolutely must have then please email us at service@modavanti.com and we will be able to ship to you!</p>",<p>Not what you expected? That’s okay! Exchanges and returns accepted within <strong>30 days</strong> of shipping. Click here to read the fine print of our return policy.</p>,,,True,None,None,passion-lilie,1
83,Amy Matto,"<p>The Amy Matto customer is deliberate in her fashion choices, seeking understated elegance and appreciating the best quality fabrics and craftsmanship. She is sensual and feminine while being sophisticated and appropriate. Beautiful lines and flattering forms accentuate the modern feminine ideal. Celebrity fans of the brand include Halle Berry, Sharon Stone, Cindy Crawford, Bethenny Frankel and Kelly Rutherford.</p>",Contemporary dress line made in New York's garment district,False,,,http://www.amymatto.com/aboutamy.html,,"<p><b>FREE Shipping on orders over $100 to the USA and Canada!</b></p>
<p>We offer fast and free shipping anywhere in the US and Canada for all orders over $100. Orders under $100 will accrue a $10 shipping charge.</p>

<p><b>Free Returns on ALL Orders:</b></p>
<p>Exchanges and returns accepted within <strong>30 days</strong> of shipping. Returns are FREE for members. Not a member? <a href=""/user/register"">Sign up now.</a> Add confidence to your purchase by reading our return policy <a href=""/customer-care/exchanges-and-returns"">here</a>.</p>

<p><b>Non US/Canada:</b></p>
<p>Are you outside the US or Canada? We'll be shipping overseas soon, but if there's something that you absolutely must have then please email us at service@modavanti.com and we will be able to ship to you!</p>","<p><b>FREE Shipping and FREE Returns:</b></p>
<p>We offer fast and free shipping anywhere in the US!</p> 

<p><b>Returns:</b></p>
<p>Exchanges and returns accepted within <strong>30 days</strong> of shipping. Returns are FREE for members. Not a member? <a href=""/user/register"">Sign up now.</a> Add confidence to your purchase by reading our return policy <a href=""/customer-care/exchanges-and-returns"">here</a>.</p>

<p><b>International Shipping:</b></p>
<p>Are you outside the US? We'll be shipping overseas soon, but if there's something that you absolutely must have then please email us at service@modavanti.com and we will be able to ship to you!</p>",,,True,None,None,amy-matto,1
84,Freedom of Animals,"<p>Freedom of Animals is a sustainable, ethical and faux leather bag line that is made in the U.S.A. Founded in 2012 in NYC by a stylist and photographer, the bags were developed to not only provide an eco-friendly option but to offer a sleek, functional and complimentary design. After years of traveling for both work and volunteering, Morgan Bogle and Scott MacDonough developed a company that is dedicated to the betterment of the environment and the people and animals in it. Materials used are EPA approved sustainable and 100% vegan. The faux leather is comprised of recycled plastic that is woven with organic cotton and colored with vegetable based dyes. The feel is as soft and luxurious as real leather without all the harsh chemicals.</p> ",Eco-friendly and vegan handbag line designed and made in the USA,False,,,http://freedomofanimals.com/pages/about,,"<p><b>FREE Shipping on orders over $100 to the USA and Canada!</b></p>
<p>We offer fast and free shipping anywhere in the US and Canada for all orders over $100. Orders under $100 will accrue a $10 shipping charge.</p>

<p><b>Free Returns on ALL Orders:</b></p>
<p>Exchanges and returns accepted within <strong>30 days</strong> of shipping. Returns are FREE for members. Not a member? <a href=""/user/register"">Sign up now.</a> Add confidence to your purchase by reading our return policy <a href=""/customer-care/exchanges-and-returns"">here</a>.</p>

<p><b>Non US/Canada:</b></p>
<p>Are you outside the US or Canada? We'll be shipping overseas soon, but if there's something that you absolutely must have then please email us at service@modavanti.com and we will be able to ship to you!</p>","<p><b>FREE Shipping and FREE Returns:</b></p>
<p>We offer fast and free shipping anywhere in the US!</p> 

<p><b>Returns:</b></p>
<p>Exchanges and returns accepted within <strong>30 days</strong> of shipping. Returns are FREE for members. Not a member? <a href=""/user/register"">Sign up now.</a> Add confidence to your purchase by reading our return policy <a href=""/customer-care/exchanges-and-returns"">here</a>.</p>

<p><b>International Shipping:</b></p>
<p>Are you outside the US? We'll be shipping overseas soon, but if there's something that you absolutely must have then please email us at service@modavanti.com and we will be able to ship to you!</p>",,,True,None,None,freedom-of-animals,1
